"# SECTION 1: per-question, per-arm metric scores"
question_id,arm,faithfulness,answer_relevancy,context_precision,context_recall
q01,A,1.0,0.9500461941052284,0.9999999999,1.0
q01,B,1.0,0.9500461941052284,0.9999999999,1.0
q01,C,1.0,0.9500461941052284,0.9999999999,1.0
q02,A,1.0,1.0,0.9999999999,1.0
q02,B,1.0,1.0,0.9999999999,1.0
q02,C,1.0,1.0,0.9999999999,1.0
q03,A,1.0,0.9765282851768049,0.9999999999,1.0
q03,B,1.0,0.9765282851768049,0.9999999999,1.0
q03,C,1.0,0.9765282851768049,0.9999999999,1.0
q04,A,1.0,0.8644191153918478,0.9999999999,1.0
q04,B,1.0,0.8586592893546108,0.9999999999,1.0
q04,C,1.0,0.8978628520255231,0.99999999995,1.0
q05,A,1.0,0.9511916288325487,0.9999999999,1.0
q05,B,1.0,0.9999999999999998,0.9999999999,1.0
q05,C,1.0,0.9999999999999998,0.49999999995,1.0
q06,A,1.0,0.9181763415569488,0.9999999999,1.0
q06,B,1.0,0.9347751270511212,0.8333333332916666,1.0
q06,C,1.0,0.9181763415569488,0.9999999999,1.0
q07,A,1.0,1.0,0.3333333333,1.0
q07,B,0.6666666666666666,1.0,0.49999999995,1.0
q07,C,0.0,0.0,0.0,0.0
q08,A,1.0,0.9995045053805909,0.9999999999,1.0
q08,B,1.0,0.9995045053805909,0.9999999999,1.0
q08,C,1.0,0.9995045053805909,0.9999999999,1.0
q09,A,0.6666666666666666,0.9995581222826634,0.9999999999,1.0
q09,B,1.0,0.9995581222826634,0.9999999999,1.0
q09,C,1.0,0.9995581222826634,0.9999999999,1.0
q10,A,1.0,0.8152744872190618,0.9999999999666667,1.0
q10,B,1.0,0.8027650815770404,0.99999999995,1.0
q10,C,1.0,0.8152744872190618,0.99999999995,1.0
q11,A,1.0,0.9239603333673418,0.9999999999,1.0
q11,B,1.0,0.9183763013944541,0.9999999999,1.0
q11,C,1.0,0.9463174728900786,0.9999999999,1.0
q12,A,1.0,0.9039319992836274,0.9999999999,1.0
q12,B,0.3333333333333333,0.8438220567449493,0.9999999999,1.0
q12,C,0.6666666666666666,0.8649286151058605,0.49999999995,1.0
q13,A,1.0,0.9461406816614065,0.49999999995,1.0
q13,B,1.0,0.9497549681713486,0.49999999995,1.0
q13,C,1.0,0.9442700275392244,0.49999999995,1.0
q14,A,1.0,0.9317685177755496,0.3333333333,1.0
q14,B,1.0,0.9397855531851661,0.49999999995,1.0
q14,C,1.0,0.7782119323578355,0.9999999999,1.0
q15,A,1.0,0.8477975328149383,0.0,1.0
q15,B,1.0,0.8388998142483555,0.0,1.0
q15,C,1.0,0.8388998142483555,0.0,1.0

# SECTION 2: paired comparison (mean/median diff = later_arm - earlier_arm; positive = improvement)
metric,comparison,mean_diff,median_diff,wins,losses,ties,n
faithfulness,A_vs_B,-0.044444444444444446,0.0,1,2,12,15
faithfulness,A_vs_C,-0.06666666666666667,0.0,1,2,12,15
faithfulness,B_vs_C,-0.02222222222222222,0.0,1,1,13,15
answer_relevancy,A_vs_B,-0.001054829745081672,0.0,4,5,6,15
answer_relevancy,A_vs_C,-0.07324793966402553,0.0,3,5,7,15
answer_relevancy,B_vs_C,-0.07219310991894386,0.0,4,4,7,15
context_precision,A_vs_B,0.011111111111666664,0.0,2,1,12,15
context_precision,A_vs_C,-0.04444444443777777,0.0,1,3,11,15
context_precision,B_vs_C,-0.05555555554944444,0.0,2,3,10,15
context_recall,A_vs_B,0.0,0.0,0,0,15,15
context_recall,A_vs_C,-0.06666666666666667,0.0,0,1,14,15
context_recall,B_vs_C,-0.06666666666666667,0.0,0,1,14,15
